image_file | cell_index | color | diameter_ratio
------------------------------------------------------------
0633057f-d601-4afb-9239-2d1316bb4a35.jpeg | 10 | CYAN   | 1.3918
0633057f-d601-4afb-9239-2d1316bb4a35.jpeg | 12 | CYAN   | 1.1172
0633057f-d601-4afb-9239-2d1316bb4a35.jpeg | 14 | GREEN  | 1.0955
0633057f-d601-4afb-9239-2d1316bb4a35.jpeg | 16 | GREEN  | 1.3918
0633057f-d601-4afb-9239-2d1316bb4a35.jpeg | 25 | GREEN  | 1.3918
0633057f-d601-4afb-9239-2d1316bb4a35.jpeg | 36 | CYAN   | 0.8570
0633057f-d601-4afb-9239-2d1316bb4a35.jpeg | 55 | CYAN   | 1.3702
0633057f-d601-4afb-9239-2d1316bb4a35.jpeg | 56 | CYAN   | 1.2452
0633057f-d601-4afb-9239-2d1316bb4a35.jpeg | 58 | GREEN  | 1.1036
0633057f-d601-4afb-9239-2d1316bb4a35.jpeg | 60 | CYAN   | 1.1154
0633057f-d601-4afb-9239-2d1316bb4a35.jpeg | 62 | GREEN  | 1.0980
70fd93a6-3bf6-4f6d-8b26-e5bb227999d7.jpeg |  9 | CYAN   | 0.7928
70fd93a6-3bf6-4f6d-8b26-e5bb227999d7.jpeg | 10 | CYAN   | 0.7989
70fd93a6-3bf6-4f6d-8b26-e5bb227999d7.jpeg | 12 | GREEN  | 0.6051
70fd93a6-3bf6-4f6d-8b26-e5bb227999d7.jpeg | 14 | GREEN  | 0.5636
70fd93a6-3bf6-4f6d-8b26-e5bb227999d7.jpeg | 17 | GREEN  | 0.5912
70fd93a6-3bf6-4f6d-8b26-e5bb227999d7.jpeg | 25 | GREEN  | 0.5844
70fd93a6-3bf6-4f6d-8b26-e5bb227999d7.jpeg | 36 | CYAN   | 0.5984
70fd93a6-3bf6-4f6d-8b26-e5bb227999d7.jpeg | 44 | GREEN  | 0.6074
70fd93a6-3bf6-4f6d-8b26-e5bb227999d7.jpeg | 45 | CYAN   | 0.5966
70fd93a6-3bf6-4f6d-8b26-e5bb227999d7.jpeg | 52 | GREEN  | 0.7724
70fd93a6-3bf6-4f6d-8b26-e5bb227999d7.jpeg | 53 | GREEN  | 0.6014
70fd93a6-3bf6-4f6d-8b26-e5bb227999d7.jpeg | 56 | CYAN   | 0.5851
70fd93a6-3bf6-4f6d-8b26-e5bb227999d7.jpeg | 62 | GREEN  | 0.8347
74747f93-5b51-4627-93d5-f18001d10684.jpeg | 22 | GREEN  | 0.5758
74747f93-5b51-4627-93d5-f18001d10684.jpeg | 31 | CYAN   | 0.6095
74747f93-5b51-4627-93d5-f18001d10684.jpeg | 35 | GREEN  | 0.5490
74747f93-5b51-4627-93d5-f18001d10684.jpeg | 41 | GREEN  | 0.5595
74747f93-5b51-4627-93d5-f18001d10684.jpeg | 53 | GREEN  | 0.5644
74747f93-5b51-4627-93d5-f18001d10684.jpeg | 58 | CYAN   | 0.6085
74747f93-5b51-4627-93d5-f18001d10684.jpeg | 67 | GREEN  | 0.5714
8b4c8b2d-9444-4b02-a155-b22979451cc8.jpeg | 10 | CYAN   | 1.1260
8b4c8b2d-9444-4b02-a155-b22979451cc8.jpeg | 12 | GREEN  | 0.8216
8b4c8b2d-9444-4b02-a155-b22979451cc8.jpeg | 16 | GREEN  | 0.8121
8fe60d25-d31b-4532-b5c3-d3dcd3af35fb.jpeg | 31 | GREEN  | 0.5483
8fe60d25-d31b-4532-b5c3-d3dcd3af35fb.jpeg | 44 | GREEN  | 0.5813
8fe60d25-d31b-4532-b5c3-d3dcd3af35fb.jpeg | 68 | GREEN  | 0.7797
8fe60d25-d31b-4532-b5c3-d3dcd3af35fb.jpeg | 69 | GREEN  | 0.5661
8fe60d25-d31b-4532-b5c3-d3dcd3af35fb.jpeg | 70 | GREEN  | 0.7690
b8950404-4262-4a21-abd8-65393accc6c3.jpeg | 13 | GREEN  | 0.6506
b8950404-4262-4a21-abd8-65393accc6c3.jpeg | 46 | CYAN   | 0.6758
b8950404-4262-4a21-abd8-65393accc6c3.jpeg | 49 | CYAN   | 0.6848
b8950404-4262-4a21-abd8-65393accc6c3.jpeg | 59 | GREEN  | 0.6524
bb8ce4bf-075a-4586-b339-25971538a19b.jpeg | 10 | CYAN   | 0.5975
bb8ce4bf-075a-4586-b339-25971538a19b.jpeg | 13 | GREEN  | 0.8256
bb8ce4bf-075a-4586-b339-25971538a19b.jpeg | 15 | CYAN   | 0.6176
bb8ce4bf-075a-4586-b339-25971538a19b.jpeg | 53 | GREEN  | 0.8108
f847c5a0-81f7-4aa7-970b-a5d6e44c3dc2.jpeg | 13 | CYAN   | 0.5859
f847c5a0-81f7-4aa7-970b-a5d6e44c3dc2.jpeg | 31 | CYAN   | 0.6512
f847c5a0-81f7-4aa7-970b-a5d6e44c3dc2.jpeg | 37 | CYAN   | 0.5883
f847c5a0-81f7-4aa7-970b-a5d6e44c3dc2.jpeg | 38 | CYAN   | 0.6528
f847c5a0-81f7-4aa7-970b-a5d6e44c3dc2.jpeg | 41 | GREEN  | 0.5619
f847c5a0-81f7-4aa7-970b-a5d6e44c3dc2.jpeg | 49 | GREEN  | 0.5582
